name,description,hours,street,city,zip,state,country,phone,website,date-created,categories,products,latitude,longitude,llp_url,facebook_venue_id,sun_open,sun_closed,mon_open,mon_closed,tue_open,tue_closed,wed_open,wed_closed,thur_open,thur_closed,fri_open,fri_closed,sat_open,sat_closed
Merlin's Potions Pike Place,,,1912 Pike Pl,Seattle,98101,WA,,,,2016-04-19,,,47.6100596,-122.3425483,/wa/seattle/1912-pike-pl.html,,,,,,,,,,,,,,,
Merlin's Potions North Shore,Merlin's Potions store located in the North Shore,,1395 Marine Drive,West Vancouver,V7T 1B6,BC,Canada,(604) 321-4567,,2016-02-17,"Corporate,Potions,Ingredients,Books,Supplies,Charms",,49.3278927,-123.1541598,/bc/west-vancouver/1395-marine-drive.html,merlinspotions,10:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,10:00,18:00
Merlin's Potions Downtown,Merlin's Potions store located Downtown,,929 Granville St,Vancouver,V6Z 1L3,BC,Canada,(604) 345-2212,,2016-02-17,"Corporate,Books","Grimmerie,Necromonicon,Dragon Breeding For Pleasure and Profit",49.2800397,-123.1224741,/bc/vancouver/929-granville-st.html,merlinspotions,10:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,10:00,18:00
Merlin's Potions Lonsdale,Merlin's Potions store located in Lonsdale,,91 Lonsdale Ave,North Vancouver,V7M 2E5,BC,Canada,(604) 567-2011,,2016-02-17,"Corporate,Potions,Ingredients,Books,Supplies,Charms",,49.3118395,-123.0791145,/bc/north-vancouver/91-lonsdale-ave.html,merlinspotions,10:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,10:00,18:00
Costco Wholesale Vancouver,Costco Downtown,,605 Expo Blvd,Vancouver,V6B 1V4,BC,Costco,(604) 622-5050,costco.ca,2016-02-17,"Books,Potions","Dragon Breeding For Pleasure and Profit,Love Potion,Polyjuice Potion",49.2786103,-123.1097476,/bc/vancouver/605-expo-blvd.html,merlinspotions,10:00,20:30,10:00,20:30,10:00,20:30,10:00,20:30,10:00,20:30,10:00,20:30,10:00,20:30
Merlin's Potions Kitsilano,Merlin's Potions store located in Kitsilano,,2285 W 4th Ave,Vancouver,V6K 1N9,BC,Canada,(604) 334-2101,,2016-02-17,"Corporate,Potions,Ingredients,Books,Supplies,Charms",,49.2684191,-123.1571115,/bc/vancouver/2285-w-4th-ave.html,merlinspotions,10:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,10:00,18:00
Merlin's Potions UK,Merlin's Potions store located in the UK,,"Davidson House, The Forbury",Reading,RG1 3EU,West Berkshire,UK,(118) 952-7770,,2016-02-17,"Corporate,Potions,Ingredients,Books,Supplies,Charms",,51.4556905,-0.9678762,/west-berkshire/reading/davidson-house-the-forbury.html,merlinspotions,10:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,10:00,18:00
Indigo - Broadway and Granville,Indigo - Broadway and Granville,,2505 Granville St,Vancouver,V6H 3G7,BC,Canada,(604) 731-7822,chapters.indigo.ca,2016-02-17,Books,"Beginner's Guide To Transfiguration,Grimmerie,Necromonicon",49.2633954,-123.1389093,/bc/vancouver/2505-granville-st.html,merlinspotions,9:00,22:00,9:00,22:00,9:00,22:00,9:00,22:00,9:00,22:00,9:00,22:00,9:00,22:00
Book Warehouse,Book Warehouse on Broadway,,632 W Broadway,Vancouver,V5Z 1G1,BC,Canada,(604) 872-5711,bookwarehouse.ca,2016-02-17,Books,"Beginner's Guide To Transfiguration,Grimmerie,Necromonicon",49.2631291,-123.118376,/bc/vancouver/632-w-broadway.html,merlinspotions,9:00,22:00,9:00,22:00,9:00,22:00,9:00,22:00,9:00,22:00,9:00,22:00,9:00,22:00
Merlin's Potions Vancouver,,,948 Homer Street,Vancouver,V6B 5S3,BC,Canada,(604) 343-4696,http://www.merlinspotions.com,2016-02-16,"Potions,Supplies","Necromonicon,Grimmerie,Polyjuice Potion",49.2777016,-123.1193578,/bc/vancouver/948-homer-street.html,merlinspotions,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00
Whole Foods Cambie,Whole Foods Cambie,,510 W 8th Ave,Vancouver,V5Z1C5,BC,Canada,(778) 370-4210,wholefoodsmarket.com,2016-02-17,Potions,"Eye of Newt,Unicorn Blood,Aging Potion",49.2640264,-123.1152452,/bc/vancouver/510-w-8th-ave.html,merlinspotions,7:00,22:00,7:00,22:00,7:00,22:00,7:00,22:00,7:00,22:00,7:00,22:00,7:00,22:00
Whole Foods Kitsilano,Whole Foods Kitsilano,,2285 W 4th Ave,Vancouver,V6K 1N9,BC,Canada,(604) 739-6676,wholefoodsmarket.com,2016-02-17,Potions,"Eye of Newt,Unicorn Blood,Aging Potion",49.2684191,-123.1571115,/bc/vancouver/2285-w-4th-ave.html,merlinspotions,7:00,22:00,7:00,22:00,7:00,22:00,7:00,22:00,7:00,22:00,7:00,22:00,7:00,22:00
Whole Foods Downtown,Whole Foods Downtown,,1675 Robson St,Vancouver,V6G 1C8,BC,Canada,(604) 687-5288,wholefoodsmarket.com,2016-02-17,Potions,"Eye of Newt,Unicorn Blood,Aging Potion",49.2900848,-123.1327018,/bc/vancouver/1675-robson-st.html,merlinspotions,8:00,22:00,8:00,22:00,8:00,22:00,8:00,22:00,8:00,22:00,8:00,22:00,8:00,22:00